operation,runs,logical_operations,median_total_ms,median_ns_per_op,median_ops_per_sec,baseline_ops_per_sec,speedup
batch,3,10000,7281.050,728104.979,1373.428,,
build,1,10000000,13117.073,1311.707,762365.218,,
cas_conflict,3,100,123.298,1232980.830,811.043,,
concurrent_query,3,10000,2721.663,272166.312,3674.224,,
diff,3,10000,2752.351,275235.133,3633.257,,
list_roots,1,1000,48.820,48819.542,20483.601,,
merge,3,20000,3903.810,195190.506,5123.200,,
query,3,10000,2073.777,207377.688,4822.120,,
raw_batch_get,3,2500,184.050,73620.166,13583.235,,
raw_batch_put,3,2500,500.636,200254.483,4993.646,,
